Date,Day,Week Day,Week DaySort,Day of Year,Is Weekend,Week Number,Start of Week,End of Week,MonthSort,Month,Start of Month,End of Month,Start of Next Month,End of Next Month,Quarter,Start of Quarter,End of Quarter,Year,Start of Year,End of Year,Month Year,Is Latest Month,Is Previous Month,Is Beyond Latest
2011-07-04T00:00:00,4,Monday,2,185,0,28,2011-07-03T00:00:00,2011-07-09T00:00:00,7,July,2011-07-01T00:00:00,2011-07-31T00:00:00,2011-08-01T00:00:00,2011-08-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,072011,0,0,0
2011-07-11T00:00:00,11,Monday,2,192,0,29,2011-07-10T00:00:00,2011-07-16T00:00:00,7,July,2011-07-01T00:00:00,2011-07-31T00:00:00,2011-08-01T00:00:00,2011-08-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,072011,0,0,0
2011-07-18T00:00:00,18,Monday,2,199,0,30,2011-07-17T00:00:00,2011-07-23T00:00:00,7,July,2011-07-01T00:00:00,2011-07-31T00:00:00,2011-08-01T00:00:00,2011-08-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,072011,0,0,0
2011-07-25T00:00:00,25,Monday,2,206,0,31,2011-07-24T00:00:00,2011-07-30T00:00:00,7,July,2011-07-01T00:00:00,2011-07-31T00:00:00,2011-08-01T00:00:00,2011-08-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,072011,0,0,0
2011-08-01T00:00:00,1,Monday,2,213,0,32,2011-07-31T00:00:00,2011-08-06T00:00:00,8,August,2011-08-01T00:00:00,2011-08-31T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,082011,0,0,0
2011-08-08T00:00:00,8,Monday,2,220,0,33,2011-08-07T00:00:00,2011-08-13T00:00:00,8,August,2011-08-01T00:00:00,2011-08-31T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,082011,0,0,0
2011-08-15T00:00:00,15,Monday,2,227,0,34,2011-08-14T00:00:00,2011-08-20T00:00:00,8,August,2011-08-01T00:00:00,2011-08-31T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,082011,0,0,0
2011-08-22T00:00:00,22,Monday,2,234,0,35,2011-08-21T00:00:00,2011-08-27T00:00:00,8,August,2011-08-01T00:00:00,2011-08-31T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,082011,0,0,0
2011-08-29T00:00:00,29,Monday,2,241,0,36,2011-08-28T00:00:00,2011-09-03T00:00:00,8,August,2011-08-01T00:00:00,2011-08-31T00:00:00,2011-09-01T00:00:00,2011-09-30T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,082011,0,0,0
2011-09-05T00:00:00,5,Monday,2,248,0,37,2011-09-04T00:00:00,2011-09-10T00:00:00,9,September,2011-09-01T00:00:00,2011-09-30T00:00:00,2011-10-01T00:00:00,2011-10-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,092011,0,0,0
2011-09-12T00:00:00,12,Monday,2,255,0,38,2011-09-11T00:00:00,2011-09-17T00:00:00,9,September,2011-09-01T00:00:00,2011-09-30T00:00:00,2011-10-01T00:00:00,2011-10-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,092011,0,0,0
2011-09-19T00:00:00,19,Monday,2,262,0,39,2011-09-18T00:00:00,2011-09-24T00:00:00,9,September,2011-09-01T00:00:00,2011-09-30T00:00:00,2011-10-01T00:00:00,2011-10-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,092011,0,0,0
2011-09-26T00:00:00,26,Monday,2,269,0,40,2011-09-25T00:00:00,2011-10-01T00:00:00,9,September,2011-09-01T00:00:00,2011-09-30T00:00:00,2011-10-01T00:00:00,2011-10-31T00:00:00,3,2011-07-01T00:00:00,2011-09-30T00:00:00,2011,2011-01-01T00:00:00,2011-12-31T00:00:00,092011,0,0,0
2012-07-02T00:00:00,2,Monday,2,184,0,27,2012-07-01T00:00:00,2012-07-07T00:00:00,7,July,2012-07-01T00:00:00,2012-07-31T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,072012,0,0,0
2012-07-09T00:00:00,9,Monday,2,191,0,28,2012-07-08T00:00:00,2012-07-14T00:00:00,7,July,2012-07-01T00:00:00,2012-07-31T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,072012,0,0,0
2012-07-16T00:00:00,16,Monday,2,198,0,29,2012-07-15T00:00:00,2012-07-21T00:00:00,7,July,2012-07-01T00:00:00,2012-07-31T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,072012,0,0,0
2012-07-23T00:00:00,23,Monday,2,205,0,30,2012-07-22T00:00:00,2012-07-28T00:00:00,7,July,2012-07-01T00:00:00,2012-07-31T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,072012,0,0,0
2012-07-30T00:00:00,30,Monday,2,212,0,31,2012-07-29T00:00:00,2012-08-04T00:00:00,7,July,2012-07-01T00:00:00,2012-07-31T00:00:00,2012-08-01T00:00:00,2012-08-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,072012,0,0,0
2012-08-06T00:00:00,6,Monday,2,219,0,32,2012-08-05T00:00:00,2012-08-11T00:00:00,8,August,2012-08-01T00:00:00,2012-08-31T00:00:00,2012-09-01T00:00:00,2012-09-30T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,082012,0,0,0
2012-08-13T00:00:00,13,Monday,2,226,0,33,2012-08-12T00:00:00,2012-08-18T00:00:00,8,August,2012-08-01T00:00:00,2012-08-31T00:00:00,2012-09-01T00:00:00,2012-09-30T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,082012,0,0,0
2012-08-20T00:00:00,20,Monday,2,233,0,34,2012-08-19T00:00:00,2012-08-25T00:00:00,8,August,2012-08-01T00:00:00,2012-08-31T00:00:00,2012-09-01T00:00:00,2012-09-30T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,082012,0,0,0
2012-08-27T00:00:00,27,Monday,2,240,0,35,2012-08-26T00:00:00,2012-09-01T00:00:00,8,August,2012-08-01T00:00:00,2012-08-31T00:00:00,2012-09-01T00:00:00,2012-09-30T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,082012,0,0,0
2012-09-03T00:00:00,3,Monday,2,247,0,36,2012-09-02T00:00:00,2012-09-08T00:00:00,9,September,2012-09-01T00:00:00,2012-09-30T00:00:00,2012-10-01T00:00:00,2012-10-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,092012,0,0,0
2012-09-10T00:00:00,10,Monday,2,254,0,37,2012-09-09T00:00:00,2012-09-15T00:00:00,9,September,2012-09-01T00:00:00,2012-09-30T00:00:00,2012-10-01T00:00:00,2012-10-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,092012,0,0,0
2012-09-17T00:00:00,17,Monday,2,261,0,38,2012-09-16T00:00:00,2012-09-22T00:00:00,9,September,2012-09-01T00:00:00,2012-09-30T00:00:00,2012-10-01T00:00:00,2012-10-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,092012,0,0,0
2012-09-24T00:00:00,24,Monday,2,268,0,39,2012-09-23T00:00:00,2012-09-29T00:00:00,9,September,2012-09-01T00:00:00,2012-09-30T00:00:00,2012-10-01T00:00:00,2012-10-31T00:00:00,3,2012-07-01T00:00:00,2012-09-30T00:00:00,2012,2012-01-01T00:00:00,2012-12-31T00:00:00,092012,0,0,0
2013-07-01T00:00:00,1,Monday,2,182,0,27,2013-06-30T00:00:00,2013-07-06T00:00:00,7,July,2013-07-01T00:00:00,2013-07-31T00:00:00,2013-08-01T00:00:00,2013-08-31T00:00:00,3,2013-07-01T00:00:00,2013-09-30T00:00:00,2013,2013-01-01T00:00:00,2013-12-31T00:00:00,072013,0,0,0
