AddressLine1,AddressLine2,Reseller City,ResellerID,ResellerSort,AccountNumber,Reseller Name,State or Province,Reseller Country,CountrySort,Reseller Contact,Reseller Address,Post Code,Reseller Email
Mall Of Memphis,,Memphis,29484,207,AW00029484,Next-Door Bike Store,Tennessee,United States,1,Gustavo Achong,"Mall Of Memphis, Memphis, Tennessee, 38103, United States",38103,
57251 Serene Blvd,,Van Nuys,29485,226,AW00029485,Professional Sales and Service,California,United States,1,Catherine Abel,"57251 Serene Blvd, Van Nuys, California, 91411, United States",91411,
Tanger Factory,,Branch,29486,31,AW00029486,Riders Company,Minnesota,United States,1,Kim Abercrombie,"Tanger Factory, Branch, Minnesota, 55056, United States",55056,
Johnny Appleseed Shop.center,,Mansfield,29487,282,AW00029487,The Bike Mechanics,Ohio,United States,1,Humberto Acevedo,"Johnny Appleseed Shop.center, Mansfield, Ohio, 44903, United States",44903,
6900 Sisk Road,,Modesto,29489,66,AW00029489,Area Bike Accessories,California,United States,1,Frances Adams,"6900 Sisk Road, Modesto, California, 95354, United States",95354,
Lewiston Mall,,Lewiston,29490,485,AW00029490,Bicycle Accessories and Kits,Idaho,United States,1,Margaret Smith,"Lewiston Mall, Lewiston, Idaho, 83501, United States",83501,
Leesburg Premium Outlet Centre,,Leesburg,29491,260,AW00029491,Clamps & Brackets Co.,Virginia,United States,1,Carla Adams,"Leesburg Premium Outlet Centre, Leesburg, Virginia, 20176, United States",20176,
Blue Ridge Mall,,Kansas City,29492,198,AW00029492,Valley Bicycle Specialists,Missouri,United States,1,Jay Adams,"Blue Ridge Mall, Kansas City, Missouri, 64106, United States",64106,
Hilton Head Factory Outlets No. 25,,Bluffton,29493,497,AW00029493,New Bikes Company,South Carolina,United States,1,Ronald Adina,"Hilton Head Factory Outlets No. 25, Bluffton, South Carolina, 29910, United States",29910,
6500 East Grant Road,,Tucson,29496,249,AW00029496,Fun Toys and Bikes,Arizona,United States,1,Robert Ahlering,"6500 East Grant Road, Tucson, Arizona, 85701, United States",85701,
Eastridge Mall,,Casper,29497,13,AW00029497,Great Bikes,Wyoming,United States,1,François Ferrier,"Eastridge Mall, Casper, Wyoming, 82601, United States",82601,
Granite State Marketplace,,Hooksett,29498,507,AW00029498,Metropolitan Sales and Rental,New Hampshire,United States,1,Kim Akers,"Granite State Marketplace, Hooksett, New Hampshire, 03106, United States",03106,
Flagler Park Plaza,,Miami,29500,209,AW00029500,Worthwhile Activity Store,Florida,United States,1,Anna Albright,"Flagler Park Plaza, Miami, Florida, 33127, United States",33127,
Wrentham Village,,Wrentham,29501,460,AW00029501,Purchase Mart,Massachusetts,United States,1,Milton Albury,"Wrentham Village, Wrentham, Massachusetts, 02093, United States",02093,
White Mountain Mall,,Rock Springs,29502,596,AW00029502,Major Sport Suppliers,Wyoming,United States,1,Paul Alcorn,"White Mountain Mall, Rock Springs, Wyoming, 82901, United States",82901,
Belz Factory Outlet,,Pigeon Forge,29504,168,AW00029504,Global Plaza,Tennessee,United States,1,J. Phillip Alexander,"Belz Factory Outlet, Pigeon Forge, Tennessee, 37863, United States",37863,
22589 West Craig Road,,North Las Vegas,29505,627,AW00029505,Imported and Domestic Cycles,Nevada,United States,1,Michelle Alexander,"22589 West Craig Road, North Las Vegas, Nevada, 89030, United States",89030,
2551 East Warner Road,,Gilbert,29506,360,AW00029506,Systematic Sales,Arizona,United States,1,Sean Jacobson,"2551 East Warner Road, Gilbert, Arizona, 85233, United States",85233,
Gulfport Factory Shops,,Gulfport,29507,39,AW00029507,eCommerce Bikes,Mississippi,United States,1,Phyllis Allen,"Gulfport Factory Shops, Gulfport, Mississippi, 39501, United States",39501,
First Colony Mall,,Sugar Land,29508,455,AW00029508,Mountain Toy Store,Texas,United States,1,Marvin Allen,"First Colony Mall, Sugar Land, Texas, 77478, United States",77478,
Lake Region Factory Outlet,,Tilton,29509,91,AW00029509,Retail Sales and Service,New Hampshire,United States,1,Michael Allen,"Lake Region Factory Outlet, Tilton, New Hampshire, 03276, United States",03276,
Rocky Mountain Pines Outlet,,Loveland,29511,192,AW00029511,Bold Bike Accessories,Colorado,United States,1,Oscar Alpuerto,"Rocky Mountain Pines Outlet, Loveland, Colorado, 80537, United States",80537,
Fsa Outlet Center,,Nashville,29513,147,AW00029513,Tiny Bike Boutique,Tennessee,United States,1,Selena Alvarado,"Fsa Outlet Center, Nashville, Tennessee, 37203, United States",37203,
830 Highway 499 So,,Mcdonough,29514,479,AW00029514,Acclaimed Bicycle Company,Georgia,United States,1,Emilio Alvaro,"830 Highway 499 So, Mcdonough, Georgia, 30253, United States",30253,
998 Forest Road,,Saginaw,29517,406,AW00029517,Novelty Bikes,Michigan,United States,1,Ramona Antrim,"998 Forest Road, Saginaw, Michigan, 48601, United States",48601,
Turfway Retail Center,,Florence,29518,424,AW00029518,Distinctive Cycles Sales & Service,Kentucky,United States,1,Sabria Appelbaum,"Turfway Retail Center, Florence, Kentucky, 41042, United States",41042,
Grand Central Place,,Somerset,29519,379,AW00029519,Leading Bike Distributors,Kentucky,United States,1,Hannah Arakawa,"Grand Central Place, Somerset, Kentucky, 42501, United States",42501,
Factory Stores Of America,,Crossville,29520,327,AW00029520,Activity Center,Tennessee,United States,1,Kyley Arbelaez,"Factory Stores Of America, Crossville, Tennessee, 38555, United States",38555,
Belz Factory Outlet,,Las Vegas,29521,153,AW00029521,Brightwork Company,Nevada,United States,1,Tom Johnston,"Belz Factory Outlet, Las Vegas, Nevada, 89106, United States",89106,
Fox Hills,,Culver City,29522,32,AW00029522,Resale Services,California,United States,1,Thomas Armstrong,"Fox Hills, Culver City, California, 90232, United States",90232,
2345 North Freeway,,Houston,29523,18,AW00029523,The Gear Store,Texas,United States,1,John Arthur,"2345 North Freeway, Houston, Texas, 77003, United States",77003,
70 N.W. Plaza,,Saint Ann,29524,157,AW00029524,Immense Manufacturing Company,Missouri,United States,1,Chris Ashton,"70 N.W. Plaza, Saint Ann, Missouri, 63074, United States",63074,
The Citadel Commerce Plaza,,City Of Commerce,29525,117,AW00029525,Extended Bike Sales,California,United States,1,Teresa Atkinson,"The Citadel Commerce Plaza, City Of Commerce, California, 90040, United States",90040,
2533 Eureka Rd.,,Southgate,29528,194,AW00029528,Work and Play Association,Michigan,United States,1,Stephen Ayers,"2533 Eureka Rd., Southgate, Michigan, 48195, United States",48195,
